100001	1
100002	2
100003	3
100004	4
100005	5
100006	6
100007	7
100008	8
100009	9
100010	10
100011	11
100012	12
100013	13
100014	14
100015	15
100016	16
100017	17
100018	18
100019	19
10002	20
100020	21
100021	22
100022	23
100023	24
100024	25
100025	26
100026	27
100027	28
100028	29
100029	30
100030	31
100031	32
100032	33
100033	34
100034	35
100035	36
100036	37
100037	38
100038	39
100039	40
100040	41
100041	42
100042	43
100043	44
100044	45
100045	46
100046	47
100047	48
100048	49
100049	50
100050	51
100051	52
100052	53
100054	54
100055	55
100056	56
100057	57
100058	58
100059	59
100060	60
100061	61
100063	62
100064	63
100065	64
100066	65
100067	66
100068	67
100069	68
100070	69
100071	70
100072	71
100073	72
100074	73
100075	74
100076	75
100077	76
100078	77
100079	78
100080	79
100081	80
100082	81
100083	82
100084	83
100085	84
100086	85
100087	86
100088	87
100089	88
100090	89
100091	90
100092	91
100093	92
100094	93
100095	94
100096	95
100097	96
100098	97
100099	98
100100	99
100101	100
100102	101
100103	102
100104	103
100105	104
100106	105
100107	106
100108	107
100109	108
100110	109
100111	110
100112	111
100113	112
100114	113
100115	114
100116	115
100117	116
100118	117
100119	118
100120	119
100121	120
100122	121
100124	122
100125	123
100126	124
100127	125
100128	126
100129	127
100130	128
100131	129
100132	130
100133	131
100134	132
100135	133
100136	134
100137	135
100138	136
100139	137
100140	138
100141	139
100142	140
100143	141
100144	142
100145	143
100146	144
100147	145
100149	146
100150	147
100151	148
100152	149
100153	150
100154	151
100155	152
100156	153
100157	154
100158	155
100159	156
100160	157
100161	158
100162	159
100163	160
100164	161
100165	162
100166	163
100167	164
100168	165
100169	166
100170	167
100171	168
100172	169
100173	170
100174	171
100175	172
100176	173
100177	174
100178	175
100179	176
100180	177
100181	178
100182	179
100183	180
100184	181
100185	182
100186	183
100188	184
100189	185
100190	186
100191	187
100192	188
100193	189
100194	190
100195	191
100196	192
100197	193
100198	194
100199	195
1002	196
100200	197
100201	198
100202	199
100203	200
100204	201
100205	202
100206	203
100207	204
100208	205
100209	206
100210	207
100211	208
100212	209
100213	210
100214	211
100215	212
100216	213
100217	214
100218	215
100219	216
100220	217
100221	218
100222	219
100223	220
100224	221
100225	222
100226	223
100227	224
100228	225
100229	226
100230	227
100231	228
100232	229
100233	230
100235	231
100236	232
100237	233
100238	234
100239	235
100240	236
100241	237
100242	238
100243	239
100244	240
100245	241
100246	242
100247	243
100248	244
100249	245
100250	246
100251	247
100252	248
100253	249
100254	250
100255	251
100256	252
100257	253
100258	254
100259	255
