"","cty1","cty2","absimport"
"217",132,273,265973.96875
"218",132,278,8311.6904296875
"219",132,283,83116.8671875
"220",132,288,16623.373046875
"221",132,293,87272.6953125
"222",132,298,423896.21875
"223",132,299,1437921.25
"224",132,423,116363.6484375
"225",132,436,4155.84326171875
"226",132,469,1974025.5
"227",132,518,8311.6904296875
"228",132,524,128831.1953125
"229",132,534,835324.3125
"230",132,564,1487792.25
"231",132,566,62337.6796875
"232",132,578,8311.6904296875
"233",132,612,10963112
"234",132,636,374026.09375
"235",132,644,29090.912109375
"236",132,686,3445195.5
"237",134,111,17911688
"238",134,112,4820778
"239",134,122,1745453.875
"240",134,128,4862337.5
"241",134,132,8602600
"242",134,136,5028573.5
"243",134,138,12301310
"244",134,142,2161038.75
"245",134,144,6275325
"246",134,146,3449351
"247",134,156,415584.34375
"248",134,158,374026.09375
"249",134,172,914286
"250",134,174,581818.25
"251",134,176,83116.8671875
"252",134,178,166233.8125
"253",134,182,290908.96875
"254",134,184,457142.78125
"255",134,186,2161038.75
"256",134,193,2659741
"257",134,196,789610.5625
"258",134,199,1288311.375
"259",134,213,2701298.75
"260",134,218,124675.3046875
"261",134,223,872727.375
"262",134,228,581818.25
"263",134,233,540259.6875
"264",134,238,41558.453125
"265",134,243,41558.453125
"266",134,248,124675.3046875
"267",134,258,41558.453125
"268",134,273,249350.71875
"269",134,288,41558.453125
"270",134,293,249350.71875
"271",134,298,581818.25
"272",134,299,332467.46875
"273",134,423,332467.46875
"274",134,469,997402.875
"275",134,524,457142.78125
"276",134,534,1038961.375
"277",134,564,914286
"278",134,566,41558.453125
"279",134,578,41558.453125
"280",134,612,623376.5
"281",134,636,955844.4375
"282",134,652,1080518.875
"283",134,664,374026.09375
"284",134,686,1870130.5
"285",134,694,207792.265625
"286",136,111,14462341
"287",136,112,3399480
"288",136,122,1691427.75
"289",136,128,689870.1875
"290",136,132,2780259
"291",136,134,5045193.5
"292",136,138,631688.4375
"293",136,142,490389.78125
