node mean_tx_out median_tx_out mean_tx_in mean_tx_int count.mean_tx_all count.median_tx_all
25 0 0 0 0 0.009615384615384616 0.009615384615384616
26 0 0 0 0 0 0
27 0 0 0 0 0.002932551319648094 0.002932551319648094
28 0 0 0 0 0 0
29 1.4072660900941133e-06 1.891782475283862e-06 1.4072261532042423e-06 1.89216548879365e-06 3.048829823934768e-06 0.0020876826722338203
30 0 0 0.0001294560869593837 1.0 0.0001294560869593837 1.0
31 0 0 0 0 0.0078125 0.0078125
32 0 0 0 0 6.608887367376152e-07 6.608887367376152e-07
33 0 0 2.6385119847810627e-06 2.55707715852472e-06 2.6385119847810627e-06 2.55707715852472e-06
34 0 0 0 0 0.009523809523809525 0.009523809523809525
35 0 0 0 0 0 0
36 0 0 0 0 0 0
37 0 0 0 0 0.0021008403361344537 0.0021008403361344537
38 0 0 0 0 0 0
39 0 0 0 0 0 0
40 0 0 0.004016064257028112 0.004016064257028112 0.004016064257028112 0.004016064257028112
41 0 0 0 0 0.006756756756756757 0.006756756756756757
42 0.002109704641350211 0.002109704641350211 0 0 0.002109704641350211 0.002109704641350211
43 0 0 5.3336177929489575e-06 5.3336177929489575e-06 1.5199959264109172e-06 1.5199959264109172e-06
44 0 0 0 0 0.0003096934035305048 0.0003096934035305048
45 0 0 0 0 0.007692307692307693 0.007692307692307693
46 0 0 0 0 0.00909090909090909 0.00909090909090909
47 0 0 0 0 0 0
48 0 0 0 0 0 0
49 0 0 0 0 0 0
50 0 0 0 0 0.00980392156862745 0.00980392156862745
51 0 0 3.437418361313919e-06 3.437418361313919e-06 3.437418361313919e-06 3.437418361313919e-06
52 0 0 0 0 0.005494505494505495 0.005494505494505495
53 0 0 0 0 0.0013280212483399733 0.0013280212483399733
54 0 0 0 0 0 0
55 0 0 0 0 0.006493506493506494 0.006493506493506494
56 0 0 0.003992015968063872 0.003992015968063872 0.000564652738565782 0.003205128205128205
57 0 0 0 0 0 0
58 1.1578228299505609e-05 1.1578228299505609e-05 7.359597282836683e-06 1.1345200412965295e-05 1.2265935289831784e-05 1.9353590090961872e-05
59 0 0 0 0 9.37787197329182e-06 9.37787197329182e-06
60 0 0 0 0 0.009345794392523364 0.009345794392523364
61 0 0 0 0 0.0017574692442882249 0.0017574692442882249
62 1.884835158207173e-06 4.754026660581512e-06 1.8849142069517993e-06 4.757917174177832e-06 4.005057681076314e-06 0.0018867924528301887
63 1.1376111303872996e-05 1.1376111303872996e-05 0 0 1.3980799701742938e-05 2.579114332138344e-05
64 0 0 0 0 9.424875261775911e-07 9.424875261775911e-07
65 0 0 0 0 0 0
66 0 0 0 0 0.006622516556291391 0.006622516556291391
67 0 0 0 0 6.963385821014523e-07 6.963385821014523e-07
68 0 0 0 0 0 0
69 0 0 0 0 0 0
70 0 0 0 0 0.0026041666666666665 0.0026041666666666665
71 6.810133478616181e-07 6.810133478616181e-07 6.196531677289588e-07 6.196531677289588e-07 1.855403460574841e-06 6.7340974289216015e-06
72 0 0 0.0025380710659898475 0.0025380710659898475 0.0025380710659898475 0.0025380710659898475
73 0 0 0 0 0 0
74 0 0 0 0 0 0
75 0 0 0 0 0 0
76 0 0 0 0 0 0
77 0 0 0 0 0.0006901311249137336 0.0006901311249137336
78 0 0 0 0 0 0
79 0 0 0 0 2.4729215094712895e-05 2.4729215094712895e-05
80 0 0 0 0 0 0
81 0 0 2.3591025973719596e-05 2.3591025973719596e-05 4.710759374411155e-05 4.710759374411155e-05
82 0 0 0 0 0 0
83 0 0 0 0 0 0
84 0 0 0 0 0 0
85 0 0 0 0 0.006578947368421052 0.006578947368421052
86 0 0 0 0 0 0
87 0 0 0 0 0 0
88 2.105007391583098e-06 7.040914755645054e-06 2.099891225634512e-06 7.0375948315903555e-06 4.498275810881689e-06 0.0007955449482895784
89 0 0 0 0 0 0
90 0 0 0 0 0 0
91 0 0 0 0 0 0
92 0 0 0 0 0.00012405408758218582 0.00012405408758218582
93 0 0 0 0 2.860043758669508e-06 2.860043758669508e-06
94 0 0 0 0 0.008 0.008
95 0 0 3.166649355650189e-07 3.166649355650189e-07 6.333296705767385e-07 6.333296705767385e-07
96 0 0 0 0 0 0
97 0 0 0 0 0.00980392156862745 0.00980392156862745
98 0 0 0 0 0 0
99 0 0 0 0 0 0
100 0 0 0 0 0 0
101 0 0 0 0 0.008264462809917356 0.008264462809917356
102 0 0 0 0 6.701065469409636e-05 6.701065469409636e-05
103 0 0 0 0 0 0
104 0 0 0 0 0 0
105 0 0 0 0 0 0
106 0 0 0 0 0 0
107 0 0 0 0 0.006060606060606061 0.006060606060606061
108 0 0 0 0 0.006493506493506494 0.006493506493506494
109 0 0 0 0 0 0
110 0 0 0 0 0.007692307692307693 0.007692307692307693
111 6.558835045954478e-07 6.558835045954478e-07 6.55849952024576e-07 6.55849952024576e-07 1.6394904725929657e-06 0.0024752475247524753
112 0 0 0 0 0 0
113 0 0 0 0 0.006060606060606061 0.006060606060606061
114 0 0 0 0 0.005405405405405406 0.005405405405405406
115 0 0 5.367801777815949e-06 5.367801777815949e-06 5.367801777815949e-06 5.367801777815949e-06
116 5.732308090923579e-07 5.732308090923579e-07 5.732278517655704e-07 5.732278517655704e-07 1.4330458070226123e-06 0.011111111111111112
117 0 0 0 0 0 0
118 0 0 0 0 0 0
119 0 0 0 0 0 0
120 0 0 0 0 0.010752688172043012 0.010752688172043012
121 0 0 0 0 0 0
122 0 0 0 0 1.0 1.0
123 0 0 0 0 0.005555555555555556 0.005555555555555556
124 0 0 0 0 1.137639602599734e-06 1.137639602599734e-06
125 0 0 0 0 0.0024752475247524753 0.0024752475247524753
126 0 0 0 0 0 0
127 0 0 0 0 0 0
128 0 0 0 0 0 0
129 0 0 0 0 0 0
130 0 0 0 0 0.021739130434782608 0.021739130434782608
131 0 0 0 0 0 0
132 0 0 0 0 0 0
133 0 0 0.014925373134328358 0.014925373134328358 0.014925373134328358 0.014925373134328358
134 0 0 0 0 0.012195121951219513 0.012195121951219513
135 0 0 0 0 0.008130081300813009 0.008130081300813009
136 0 0 0 0 0 0
137 0 0 1.2655584593091316e-06 0.001394700139470014 1.2655584593091316e-06 0.001394700139470014
138 0 0 1.3073894961713099e-06 1.3073894961713099e-06 1.3073894961713099e-06 1.3073894961713099e-06
139 0 0 0 0 0.010752688172043012 0.010752688172043012
140 0 0 0 0 0.004484304932735426 0.004484304932735426
141 0 0 0 0 0 0
142 0 0 0 0 0 0
143 0 0 0 0 0.008264462809917356 0.008264462809917356
144 0 0 0 0 0 0
145 0.015625 0.015625 0 0 0.015625 0.015625
146 0 0 0 0 0.0033444816053511705 0.0033444816053511705
147 0 0 0 0 0 0
148 2.898513758085404e-07 2.898513758085404e-07 8.962267955679792e-07 6.66680000266672e-06 1.389923996176041e-06 6.795093942173751e-06
149 0 0 0 0 1.1432674125343267e-06 1.1432674125343267e-06
150 0 0 0 0 0 0
151 0 0 0 0 0 0
152 0 0 0 0 0.011363636363636364 0.011363636363636364
153 0 0 0 0 0 0
154 0 0 0 0 0 0
155 0 0 0 0 0 0
156 0 0 0 0 0.00032092426187419767 0.00032092426187419767
157 0 0 0 0 0 0
158 0 0 0 0 0 0
159 0 0 0 0 0 0
160 1.4782308336285688e-06 1.6885303200946929e-06 2.4638710271927587e-06 3.681952907822309e-05 4.187182836294205e-06 0.0007412898443291327
161 0 0 0 0 0 0
162 0 0 0 0 0.006993006993006993 0.006993006993006993
163 0 0 0 0 0.014925373134328358 0.014925373134328358
164 7.683879068037676e-07 7.683879068037676e-07 7.686336000491926e-07 7.686336000491926e-07 2.3044908381125916e-06 0.0012578616352201257
165 0 0 0 0 0 0
166 0 0 0 0 0 0
167 0 0 0 0 0 0
168 1.8717945518299913e-05 4.139244174013825e-05 1.891199488401293e-05 4.29202970084553e-05 3.7822684525472504e-05 0.0014316392269148174
169 0 0 0 0 0 0
170 0 0 0 0 1.5137432751955e-06 1.5137432751955e-06
171 3.230983171562621e-05 7.331378299120235e-05 3.2264511471047855e-05 7.18081286801666e-05 6.463383734222715e-05 0.00014823599169878446
172 0 0 0.009433962264150943 0.009433962264150943 0.009433962264150943 0.009433962264150943
173 0 0 0 0 0 0
174 0 0 0 0 0 0
175 0 0 0 0 0.015151515151515152 0.015151515151515152
176 0 0 0.007142857142857143 0.007142857142857143 0.0036496350364963502 0.0036496350364963502
177 0 0 0 0 0 0
178 0 0 0 0 0 0
179 3.339152362850995e-06 1.3545913875079583e-05 2.097256934737349e-07 2.097256934737349e-07 3.56374555527558e-06 1.3545913875079583e-05
180 0 0 0 0 0 0
181 0 0 0 0 0.010869565217391304 0.010869565217391304
182 0.0008703220191470844 0.0008703220191470844 0 0 0.0007246376811594203 0.0007246376811594203
183 0 0 0.017241379310344827 0.017241379310344827 0.017241379310344827 0.017241379310344827
184 2.506170985358249e-05 6.594131223211343e-05 2.5246191833096502e-05 6.60414740457007e-05 5.048765733400478e-05 0.0017809439002671415
185 0 0 0 0 0 0
186 0 0 0 0 0.017543859649122806 0.017543859649122806
187 3.378943438176317e-07 3.378943438176317e-07 0 0 6.757884592901653e-07 6.757884592901653e-07
188 0 0 0 0 0 0
189 0 0 0 0 0.006097560975609756 0.006097560975609756
190 0 0 0 0 4.2130949732721257e-07 4.2130949732721257e-07
191 0 0 0 0 0.001288659793814433 0.001288659793814433
192 0 0 0 0 1.4407851702863992e-06 1.4407851702863992e-06
193 0 0 2.6301455180610777e-07 2.6301455180610777e-07 5.26028965258943e-07 5.26028965258943e-07
194 0 0 0 0 0.008849557522123894 0.008849557522123894
195 0 0 0 0 0 0
196 0 0 0 0 0 0
197 3.7234379247046384e-06 3.7234379247046384e-06 0.001349527665317139 0.001349527665317139 9.24780225979296e-06 0.0004880429477794046
198 0 0 0 0 0 0
199 0 0 0 0 0.02040816326530612 0.02040816326530612
200 0 0 0 0 0 0
201 0 0 0 0 0.007518796992481203 0.007518796992481203
202 0 0 0 0 0.015384615384615385 0.015384615384615385
203 0 0 0 0 0 0
204 0 0 0 0 3.558212354113294e-05 3.558212354113294e-05
205 0 0 0.00043649061545176777 0.00043649061545176777 0.00043649061545176777 0.00043649061545176777
206 0 0 0 0 0 0
207 0 0 0 0 9.916611216282283e-07 9.916611216282283e-07
208 0 0 0 0 0.006097560975609756 0.006097560975609756
209 2.717614695229703e-06 0.00012521913348359628 0 0 3.39450226413301e-06 0.0003604902667627974
210 1.100462909722975e-06 1.100462909722975e-06 1.959096033908034e-06 4.987257556942014e-06 3.4284130218962945e-06 1.2458109606448317e-05
211 7.259053854920549e-07 7.259053854920549e-07 7.257947452460444e-07 7.257947452460444e-07 2.175246564198052e-06 0.0006397952655150352
212 0 0 0 0 0 0
213 0 0 0 0 0.0014245014245014246 0.0014245014245014246
214 0 0 0 0 0 0
215 0 0 0 0 2.4182627200619076e-06 2.4182627200619076e-06
216 0 0 1.1619594237959413e-06 0.0002044362669937647 1.1619594237959413e-06 0.0002044362669937647
217 0 0 0 0 0 0
218 0 0 0 0 1.0396847675784702e-05 1.0396847675784702e-05
219 0 0 3.0801738450118124e-06 3.0801738450118124e-06 3.0801738450118124e-06 3.0801738450118124e-06
220 9.92358836955443e-05 9.92358836955443e-05 6.027246166294735e-07 6.027246166294735e-07 1.205448506705458e-06 0.00019845207382417147
221 0 0 0 0 0.009174311926605505 0.009174311926605505
222 0 0 0 0 6.177758832650691e-06 6.177758832650691e-06
223 0 0 0 0 1.4210984807036142e-06 1.4210984807036142e-06
224 0 0 0 0 0.1111111111111111 0.1111111111111111
225 0 0 0 0 4.901191969887076e-06 4.901191969887076e-06
226 4.1296716911005576e-07 4.1296716911005576e-07 4.1304307419699263e-07 4.1304307419699263e-07 1.2383256846083548e-06 0.0006369426751592356
227 0 0 0 0 0 0
228 0 0 0.0031645569620253164 0.0031645569620253164 0.0031645569620253164 0.0031645569620253164
229 0 0 0 0 4.05449237755433e-05 4.05449237755433e-05
230 0 0 0 0 1.0690385067670137e-06 1.0690385067670137e-06
231 0 0 0 0 0 0
232 0 0 0 0 0 0
233 0 0 1.0314829217372649e-06 1.0314829217372649e-06 2.0624531436426427e-06 2.0624531436426427e-06
234 0 0 0 0 0.001451378809869376 0.001451378809869376
235 0 0 0 0 0.0036101083032490976 0.0036101083032490976
236 7.463817279781937e-07 7.463817279781937e-07 3.0180761635664487e-07 3.0180761635664487e-07 1.207212976815173e-06 1.3984048395994688e-06
237 0 0 0 0 0 0
238 0 0 0 0 1.0 1.0
239 0 0 0 0 0.0006215040397762585 0.0006215040397762585
240 1.1452523563567233e-05 1.1452523563567233e-05 1.1452523563567233e-05 1.1452523563567233e-05 3.435678374695084e-05 1.0
241 0.00011636702158608251 0.00011636702158608251 0 0 0.00017392312597831758 0.002070393374741201
242 0 0 0 0 0 0
243 0 0 0 0 0.006134969325153374 0.006134969325153374
244 0 0 0 0 0 0
245 0 0 0 0 0 0
246 0 0 0 0 0 0
247 0 0 0 0 0.014705882352941176 0.014705882352941176
248 0 0 0 0 0 0
249 0 0 0 0 0 0
250 0 0 3.0596843446049043e-07 3.0596843446049043e-07 3.0596843446049043e-07 3.0596843446049043e-07
251 0 0 0 0 0.0016051364365971107 0.0016051364365971107
252 0 0 0 0 0 0
253 5.977307748862219e-07 5.977307748862219e-07 5.975368336642692e-07 5.975368336642692e-07 1.7910554689878745e-06 0.0005012531328320802
254 0 0 0 0 0.0022222222222222222 0.0022222222222222222
255 0 0 0 0 1.4797058344801054e-05 1.4797058344801054e-05
256 0 0 0 0 0.014285714285714285 0.014285714285714285
257 0 0 0.0006963788300835655 0.0006963788300835655 2.911907517817234e-06 2.911907517817234e-06
258 0 0 0 0 4.2775734523525373e-07 4.2775734523525373e-07
259 0 0 0 0 7.6173645442149925e-06 7.6173645442149925e-06
260 0 0 0.003787878787878788 0.003787878787878788 0.003787878787878788 0.003787878787878788
261 8.323106316446999e-07 8.323106316446999e-07 8.318723575054644e-07 8.318723575054644e-07 2.079595260851952e-06 0.0007336757153338225
262 0 0 0 0 0 0
263 0 0 0 0 0 0
264 0 0 0 0 0 0
265 0 0 0 0 0 0
266 0 0 3.548637027661626e-06 0.0015552099533437014 3.548637027661626e-06 0.0015552099533437014
267 0 0 0 0 0 0
268 0 0 0 0 0.008333333333333333 0.008333333333333333
269 0 0 0 0 3.560404034649852e-06 3.560404034649852e-06
270 0 0 0 0 0 0
271 0 0 0 0 0 0
272 0 0 0 0 0.007936507936507936 0.007936507936507936
273 0 0 0 0 0.020833333333333332 0.020833333333333332
