1 	 2040 		 1
1 	 2320 		 1
1 	 3377 		 1
4 	 4 		 1
4 	 587 		 3
4 	 599 		 1
4 	 813 		 1
4 	 903 		 1
4 	 981 		 1
4 	 1071 		 1
4 	 1373 		 2
4 	 1624 		 1
4 	 2063 		 1
4 	 2281 		 2
4 	 3098 		 2
4 	 3104 		 1
5 	 1476 		 1
5 	 2346 		 1
5 	 2869 		 1
6 	 357 		 1
6 	 624 		 1
6 	 720 		 1
6 	 788 		 1
6 	 964 		 1
6 	 1102 		 1
6 	 1147 		 1
6 	 1376 		 1
6 	 1505 		 1
6 	 1607 		 1
6 	 2112 		 1
6 	 2122 		 1
6 	 2608 		 1
6 	 3014 		 1
6 	 3418 		 1
6 	 3431 		 1
6 	 3435 		 1
6 	 3504 		 2
9 	 118 		 1
9 	 370 		 1
9 	 1215 		 1
9 	 1236 		 1
9 	 2707 		 1
11 	 500 		 1
11 	 1402 		 1
11 	 1404 		 1
11 	 2022 		 1
12 	 250 		 1
12 	 892 		 1
12 	 923 		 1
12 	 1155 		 1
12 	 1482 		 1
12 	 2235 		 1
12 	 2772 		 1
12 	 2989 		 1
12 	 3469 		 1
14 	 14 		 1
14 	 15 		 1
14 	 400 		 1
15 	 14 		 1
15 	 15 		 1
15 	 400 		 1
15 	 459 		 1
15 	 596 		 1
15 	 1549 		 1
18 	 895 		 1
18 	 1135 		 1
18 	 3341 		 1
18 	 3589 		 3
20 	 20 		 3
20 	 368 		 1
20 	 500 		 1
20 	 597 		 1
20 	 614 		 1
20 	 738 		 1
20 	 1115 		 1
20 	 1343 		 1
20 	 1404 		 1
20 	 1447 		 2
20 	 1641 		 1
20 	 1659 		 1
20 	 1717 		 1
20 	 1859 		 1
20 	 1903 		 1
20 	 2182 		 1
20 	 2314 		 2
20 	 2421 		 1
20 	 2587 		 2
20 	 3215 		 1
21 	 54 		 1
21 	 550 		 1
21 	 663 		 1
21 	 2893 		 1
21 	 3130 		 1
21 	 3169 		 1
21 	 3433 		 1
21 	 3509 		 1
25 	 533 		 1
25 	 1905 		 1
25 	 2274 		 1
25 	 2499 		 1
25 	 2770 		 1
25 	 2860 		 1
26 	 26 		 4
26 	 1190 		 1
26 	 1308 		 1
26 	 1553 		 1
26 	 1559 		 1
26 	 2214 		 2
26 	 3204 		 1
